-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2007 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,23.0,-105.625,0.0,0.0,0.0,0.01,0.38,4.47,3.07,4.38,4.03,2.61,0.23,0.29,1.62
PRECTOTCORR,2000,23.0,-106.25,0.0,0.0,0.0,0.01,0.1,1.97,2.71,6.33,6.62,4.19,1.22,0.2,1.95
PRECTOTCORR,2000,23.0,-106.875,0.0,0.0,0.0,0.01,0.01,0.83,2.12,4.98,6.46,3.5,2.17,0.19,1.69
PRECTOTCORR,2000,23.0,-107.5,0.01,0.0,0.01,0.03,0.0,0.38,1.61,2.67,3.58,1.65,1.19,0.06,0.93
PRECTOTCORR,2000,23.0,-108.125,0.01,0.0,0.03,0.09,0.0,0.2,1.13,1.47,1.96,0.82,0.58,0.03,0.53
PRECTOTCORR,2000,23.0,-108.75,0.01,0.0,0.03,0.08,0.0,0.17,0.97,1.3,1.7,0.73,0.49,0.03,0.46
PRECTOTCORR,2000,23.5,-105.625,0.0,0.0,0.0,0.03,0.63,2.82,2.36,3.85,2.93,2.71,0.3,0.11,1.31
PRECTOTCORR,2000,23.5,-106.25,0.0,0.0,0.0,0.01,0.22,1.88,2.59,6.16,4.87,4.44,1.26,0.06,1.79
PRECTOTCORR,2000,23.5,-106.875,0.0,0.0,0.0,0.0,0.02,1.03,2.75,5.34,5.74,3.93,2.29,0.06,1.76
PRECTOTCORR,2000,23.5,-107.5,0.0,0.0,0.0,0.01,0.0,0.28,1.93,2.73,3.72,1.65,1.46,0.01,0.98
PRECTOTCORR,2000,23.5,-108.125,0.0,0.0,0.0,0.0,0.0,0.13,1.28,1.5,1.99,0.63,0.53,0.01,0.51
PRECTOTCORR,2000,23.5,-108.75,0.0,0.0,0.0,0.0,0.0,0.13,1.04,1.32,1.76,0.63,0.44,0.01,0.44
PRECTOTCORR,2000,24.0,-105.625,0.0,0.01,0.0,0.03,0.89,3.36,2.64,3.63,2.41,2.58,0.29,0.03,1.32
PRECTOTCORR,2000,24.0,-106.25,0.0,0.0,0.0,0.01,0.37,2.62,3.78,5.18,3.17,4.03,1.06,0.01,1.69
PRECTOTCORR,2000,24.0,-106.875,0.0,0.0,0.01,0.0,0.04,1.53,4.46,5.34,4.33,4.07,1.69,0.03,1.79
PRECTOTCORR,2000,24.0,-107.5,0.0,0.0,0.01,0.0,0.0,0.59,2.71,3.44,3.72,2.46,1.24,0.02,1.18
PRECTOTCORR,2000,24.0,-108.125,0.0,0.0,0.0,0.01,0.0,0.18,1.5,1.81,2.39,0.87,0.52,0.04,0.61
PRECTOTCORR,2000,24.0,-108.75,0.0,0.0,0.01,0.01,0.0,0.24,1.1,1.65,2.03,1.05,0.38,0.04,0.54
PRECTOTCORR,2000,24.5,-105.625,0.0,0.01,0.01,0.02,1.07,4.25,3.35,3.39,1.98,2.14,0.29,0.0,1.38
PRECTOTCORR,2000,24.5,-106.25,0.0,0.0,0.0,0.0,0.42,3.6,4.99,3.55,2.08,3.09,0.8,0.0,1.54
PRECTOTCORR,2000,24.5,-106.875,0.0,0.0,0.01,0.0,0.05,2.33,5.56,4.21,2.93,3.82,1.13,0.02,1.67
PRECTOTCORR,2000,24.5,-107.5,0.0,0.0,0.04,0.0,0.0,1.25,3.4,3.93,3.04,3.5,0.77,0.03,1.33
PRECTOTCORR,2000,24.5,-108.125,0.0,0.0,0.03,0.01,0.0,0.54,1.54,2.43,2.35,2.25,0.52,0.04,0.81
PRECTOTCORR,2000,24.5,-108.75,0.0,0.0,0.02,0.01,0.0,0.49,1.21,2.02,2.13,1.71,0.36,0.06,0.67
PRECTOTCORR,2000,25.0,-105.625,0.0,0.01,0.0,0.02,0.93,4.02,3.31,2.68,1.67,1.63,0.3,0.0,1.21
PRECTOTCORR,2000,25.0,-106.25,0.0,0.0,0.01,0.01,0.36,3.69,4.56,2.19,1.63,2.15,0.52,0.0,1.26
PRECTOTCORR,2000,25.0,-106.875,0.0,0.0,0.02,0.0,0.07,3.43,5.08,3.21,2.2,3.37,0.78,0.01,1.51
PRECTOTCORR,2000,25.0,-107.5,0.0,0.0,0.06,0.0,0.0,2.21,3.54,3.78,2.27,3.79,0.72,0.02,1.37
PRECTOTCORR,2000,25.0,-108.125,0.0,0.0,0.06,0.0,0.0,1.04,1.66,2.79,1.96,3.47,0.62,0.03,0.97
PRECTOTCORR,2000,25.0,-108.75,0.0,0.0,0.04,0.01,0.0,0.87,1.32,2.31,2.0,2.65,0.55,0.06,0.82
PRECTOTCORR,2000,25.5,-105.625,0.0,0.0,0.0,0.04,0.6,3.1,2.64,1.93,1.69,1.3,0.27,0.0,0.96
PRECTOTCORR,2000,25.5,-106.25,0.0,0.0,0.01,0.02,0.33,2.83,3.02,1.59,1.6,1.69,0.38,0.0,0.96
PRECTOTCORR,2000,25.5,-106.875,0.0,0.0,0.02,0.02,0.12,3.76,3.55,2.69,1.95,2.84,0.72,0.01,1.31
PRECTOTCORR,2000,25.5,-107.5,0.0,0.0,0.05,0.0,0.01,3.23,3.43,3.65,1.98,3.54,0.91,0.02,1.4
PRECTOTCORR,2000,25.5,-108.125,0.0,0.0,0.06,0.0,0.0,1.46,2.44,2.9,1.79,3.32,0.72,0.03,1.06
PRECTOTCORR,2000,25.5,-108.75,0.0,0.0,0.05,0.0,0.01,1.14,1.85,2.47,1.81,2.89,0.7,0.04,0.91
PRECTOTCORR,2000,26.0,-105.625,0.0,0.0,0.01,0.07,0.44,2.68,2.29,1.66,2.02,1.2,0.26,0.0,0.89
PRECTOTCORR,2000,26.0,-106.25,0.0,0.0,0.01,0.04,0.48,2.51,2.19,1.73,1.77,1.55,0.44,0.0,0.89
PRECTOTCORR,2000,26.0,-106.875,0.0,0.0,0.02,0.04,0.26,3.33,2.5,2.56,1.82,2.48,0.82,0.03,1.16
PRECTOTCORR,2000,26.0,-107.5,0.0,0.0,0.04,0.01,0.05,3.77,3.44,3.53,2.14,3.18,1.22,0.02,1.45
PRECTOTCORR,2000,26.0,-108.125,0.0,0.0,0.05,0.0,0.01,2.07,3.69,3.12,1.94,2.86,0.88,0.02,1.22
PRECTOTCORR,2000,26.0,-108.75,0.0,0.0,0.05,0.0,0.02,1.51,3.13,2.6,1.85,2.42,0.79,0.03,1.03
PRECTOTCORR,2000,26.5,-105.625,0.0,0.01,0.03,0.07,0.57,2.71,2.11,1.6,2.26,1.11,0.36,0.0,0.9
PRECTOTCORR,2000,26.5,-106.25,0.0,0.01,0.02,0.04,0.69,2.75,2.11,1.86,1.77,1.32,0.57,0.01,0.93
PRECTOTCORR,2000,26.5,-106.875,0.0,0.0,0.02,0.04,0.38,2.78,2.24,2.21,1.62,2.17,0.93,0.04,1.04
PRECTOTCORR,2000,26.5,-107.5,0.0,0.0,0.05,0.01,0.12,3.81,3.83,3.09,2.41,3.21,1.66,0.03,1.52
PRECTOTCORR,2000,26.5,-108.125,0.0,0.0,0.07,0.0,0.05,2.94,4.71,3.22,2.4,2.95,1.34,0.01,1.47
PRECTOTCORR,2000,26.5,-108.75,0.0,0.0,0.07,0.0,0.05,2.16,4.51,2.56,2.09,2.3,1.07,0.01,1.24
PRECTOTCORR,2000,27.0,-105.625,0.0,0.01,0.06,0.04,0.73,2.54,1.79,1.32,1.98,0.89,0.44,0.01,0.82
PRECTOTCORR,2000,27.0,-106.25,0.0,0.01,0.03,0.02,0.72,2.62,1.89,1.57,1.33,0.99,0.59,0.01,0.82
PRECTOTCORR,2000,27.0,-106.875,0.0,0.0,0.02,0.02,0.39,2.18,2.23,1.63,1.23,1.84,1.04,0.03,0.88
PRECTOTCORR,2000,27.0,-107.5,0.0,0.0,0.09,0.01,0.17,3.23,4.31,2.39,2.29,3.55,1.98,0.03,1.5
PRECTOTCORR,2000,27.0,-108.125,0.0,0.0,0.17,0.0,0.12,3.46,5.3,3.18,2.76,3.94,1.9,0.01,1.74
PRECTOTCORR,2000,27.0,-108.75,0.0,0.0,0.16,0.0,0.08,2.48,5.19,2.58,2.26,3.08,1.4,0.01,1.44
PRECTOTCORR,2001,23.0,-105.625,0.08,0.15,0.25,0.04,0.09,1.87,7.26,7.74,8.62,0.87,0.08,0.24,2.27
PRECTOTCORR,2001,23.0,-106.25,0.04,0.02,0.48,0.01,0.07,0.9,4.97,6.65,5.83,0.64,0.12,0.21,1.66
PRECTOTCORR,2001,23.0,-106.875,0.1,0.01,0.55,0.0,0.08,0.22,2.44,4.34,1.81,0.49,0.05,0.21,0.86
PRECTOTCORR,2001,23.0,-107.5,0.52,0.04,0.42,0.01,0.12,0.1,1.05,2.24,0.95,0.27,0.02,0.18,0.49
PRECTOTCORR,2001,23.0,-108.125,1.15,0.11,0.56,0.03,0.18,0.06,0.43,1.2,0.82,0.12,0.02,0.22,0.41
PRECTOTCORR,2001,23.0,-108.75,0.8,0.13,0.68,0.03,0.18,0.06,0.33,1.07,1.09,0.1,0.01,0.18,0.39
PRECTOTCORR,2001,23.5,-105.625,0.06,0.22,0.23,0.06,0.16,1.5,5.48,5.99,6.3,0.8,0.1,0.35,1.77
PRECTOTCORR,2001,23.5,-106.25,0.03,0.03,0.67,0.02,0.07,1.0,4.45,5.83,5.02,0.49,0.16,0.41,1.52
PRECTOTCORR,2001,23.5,-106.875,0.07,0.01,0.82,0.0,0.07,0.48,3.08,4.38,2.56,0.43,0.11,0.47,1.04
PRECTOTCORR,2001,23.5,-107.5,0.2,0.01,0.33,0.0,0.1,0.11,1.3,2.34,0.99,0.31,0.02,0.17,0.49
PRECTOTCORR,2001,23.5,-108.125,0.56,0.0,0.14,0.0,0.08,0.04,0.45,1.34,0.66,0.14,0.0,0.07,0.29
PRECTOTCORR,2001,23.5,-108.75,0.55,0.0,0.15,0.0,0.07,0.03,0.44,1.29,1.64,0.13,0.02,0.06,0.37
PRECTOTCORR,2001,24.0,-105.625,0.04,0.28,0.22,0.12,0.26,1.69,4.75,5.06,4.3,0.78,0.18,0.5,1.51
PRECTOTCORR,2001,24.0,-106.25,0.04,0.1,0.63,0.04,0.09,1.53,5.05,5.52,4.41,0.46,0.21,0.73,1.57
PRECTOTCORR,2001,24.0,-106.875,0.07,0.07,0.93,0.0,0.03,0.95,4.55,4.87,3.52,0.47,0.18,0.83,1.37
PRECTOTCORR,2001,24.0,-107.5,0.07,0.02,0.53,0.0,0.06,0.39,2.71,3.52,2.01,0.43,0.08,0.44,0.86
